tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/integration-nightly-value/4_700s_noitlimit_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-crafted/zero_sum4.yml	true	unknown	5.495160397	2.939277311990736	132.919296	93	150	178
array-crafted/zero_sum5.yml	true	unknown	6.137581276	3.197001280001132	161.398784	111	178	212
array-crafted/zero_sum_const1.yml	true	unknown	5.773893748	3.056050857005175	134.443008	40	68	80
array-crafted/zero_sum_const2.yml	true	unknown	5.897815462	3.103330817015376	139.255808	58	96	114
array-crafted/zero_sum_const3.yml	true	unknown	5.828704832	3.0976426510023884	135.561216	76	124	148
array-crafted/zero_sum_const4.yml	true	unknown	6.660552833	3.49586786198779	142.114816	94	152	182
array-crafted/zero_sum_const5.yml	true	unknown	6.818564755	3.5489925460133236	150.446080	112	180	216
array-crafted/zero_sum_const_m2.yml	true	unknown	5.87924428	3.160355564992642	139.837440	58	96	114
array-crafted/zero_sum_const_m3.yml	true	unknown	5.527969641	2.9114398900128435	144.715776	76	124	148
array-crafted/zero_sum_const_m4.yml	true	unknown	6.800839775	3.5988482350076083	141.967360	94	152	182
array-crafted/zero_sum_const_m5.yml	true	unknown	6.180657213	3.2599975869816262	134.586368	112	180	216
array-crafted/zero_sum_m2.yml	true	unknown	5.547134567	2.9150529119942803	151.285760	57	94	110
array-crafted/zero_sum_m3.yml	true	unknown	5.990841036	3.1568954440008383	146.546688	75	122	144
array-crafted/zero_sum_m4.yml	true	unknown	5.633573854	2.96032800298417	139.120640	93	150	178
array-crafted/zero_sum_m5.yml	true	unknown	5.861460689	3.051741873001447	154.595328	111	178	212
array-multidimensional/init-non-constant-2-n-u.yml	true	unknown	5.466890621	2.914909412007546	136.187904	41	42	46
array-patterns/array10_pattern.yml	true	unknown	6.249284071	3.2999525330087636	143.765504	48	92	104
array-patterns/array11_pattern.yml	true	unknown	6.622199934	3.477890736015979	133.853184	74	247	279
array-patterns/array12_pattern.yml	true	unknown	6.563501925	3.4355341710033827	143.859712	98	386	445
array-patterns/array13_pattern.yml	true	unknown	5.987616194	3.121736286993837	152.748032	72	204	233
array-patterns/array14_pattern.yml	true	unknown	7.011648669	3.6714279479929246	139.345920	102	406	470
array-patterns/array15_pattern.yml	true	unknown	6.543459429	3.4317310549959075	142.204928	73	207	239
array-patterns/array16_pattern.yml	true	unknown	7.634624769	3.9941715110035148	139.530240	73	207	239
array-patterns/array17_pattern.yml	true	unknown	6.593945748	3.45291852200171	146.006016	107	464	530
array-patterns/array18_pattern.yml	true	unknown	6.743393636	3.59655608801404	141.418496	107	464	530
array-patterns/array19_pattern.yml	true	unknown	6.54267772	3.4109260069963057	158.519296	107	464	530
array-patterns/array1_pattern.yml	true	unknown	7.292620648	3.8101300609996542	152.825856	52	134	150
array-patterns/array20_pattern.yml	true	unknown	6.636085781	3.4375856870028656	144.908288	107	464	530
array-patterns/array21_pattern.yml	true	unknown	6.709513423	3.5696007299993653	144.998400	88	252	296
array-patterns/array22_pattern.yml	true	unknown	8.925306073	4.688175877992762	169.394176	219	822	968
