tool		CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/2_run_with_artifacts/2_onlyequals/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-crafted/zero_sum4.yml	true	unknown	7.6051613	3.9451801250106655	191.655936	93	150	178
array-crafted/zero_sum5.yml	true	unknown	7.567477693	3.9251577990071382	194.191360	111	178	212
array-crafted/zero_sum_const1.yml	true	unknown	7.212955569	3.7616094879922457	180.207616	40	68	80
array-crafted/zero_sum_const2.yml	true	unknown	7.290700871	3.774730081000598	186.662912	58	96	114
array-crafted/zero_sum_const3.yml	true	unknown	7.367078598	3.8458873799972935	195.997696	76	124	148
array-crafted/zero_sum_const4.yml	true	unknown	7.749675311	4.031285117001971	206.802944	94	152	182
array-crafted/zero_sum_const5.yml	true	unknown	8.783845803	4.595314766993397	198.283264	112	180	216
array-crafted/zero_sum_const_m2.yml	true	unknown	7.115870203	3.714605929009849	181.534720	58	96	114
array-crafted/zero_sum_const_m3.yml	true	unknown	7.688244453	3.9778161339927465	197.926912	76	124	148
array-crafted/zero_sum_const_m4.yml	true	unknown	8.023206335	4.125485340991872	197.722112	94	152	182
array-crafted/zero_sum_const_m5.yml	true	unknown	7.797631675	4.032914747993345	197.799936	112	180	216
array-crafted/zero_sum_m2.yml	true	unknown	6.768298091	3.5527865440089954	176.603136	57	94	110
array-crafted/zero_sum_m3.yml	true	unknown	7.385431561	3.8401822519954294	185.073664	75	122	144
array-crafted/zero_sum_m4.yml	true	unknown	7.339363722	3.7900618860003306	180.314112	93	150	178
array-crafted/zero_sum_m5.yml	true	unknown	8.373739489	4.325988423006493	185.864192	111	178	212
array-multidimensional/init-non-constant-2-n-u.yml	true	unknown	7.279144551	3.7700649939943105	179.245056	41	42	46
array-patterns/array10_pattern.yml	true	unknown	7.079082538	3.6912336090026656	185.487360	48	92	104
array-patterns/array11_pattern.yml	true	unknown	7.598192108	3.97941235799226	200.437760	74	247	279
array-patterns/array12_pattern.yml	true	unknown	9.10828233	4.724309399010963	220.401664	98	386	445
array-patterns/array13_pattern.yml	true	unknown	7.62257268	3.9577061570016667	203.788288	72	204	233
array-patterns/array14_pattern.yml	true	unknown	8.755971503	4.5364441229903605	216.432640	102	406	470
array-patterns/array15_pattern.yml	true	unknown	7.664680365	4.058984741990571	197.656576	73	207	239
array-patterns/array16_pattern.yml	true	unknown	7.337844937	3.801997479007696	194.027520	73	207	239
array-patterns/array17_pattern.yml	true	unknown	8.138916624	4.279023615003098	209.600512	107	464	530
array-patterns/array18_pattern.yml	true	unknown	8.342389706	4.356023296990315	207.908864	107	464	530
array-patterns/array19_pattern.yml	true	unknown	7.837692195	4.096743579008034	205.029376	107	464	530
array-patterns/array1_pattern.yml	true	unknown	8.080946911	4.190856936998898	181.379072	52	134	150
array-patterns/array20_pattern.yml	true	unknown	9.028907923	4.660649817000376	213.225472	107	464	530
array-patterns/array21_pattern.yml	true	unknown	8.191095208	4.242109455008176	196.550656	88	252	296
array-patterns/array22_pattern.yml	true	unknown	10.758737542	5.572072331007803	205.737984	219	822	968
array-patterns/array23_pattern.yml	true	unknown	11.107176931	5.775960745988414	231.022592	219	822	968
array-patterns/array24_pattern.yml	true	unknown	9.265908166	4.890235129001667	225.939456	118	486	575
array-patterns/array25_pattern.yml	true	unknown	7.704365402	3.990271874004975	207.360000	77	181	213
array-patterns/array26_pattern.yml	true	unknown	7.512515786	3.9075421529996675	201.375744	77	181	213
array-patterns/array27_pattern.yml	true	unknown	7.042379796	3.7246276730002137	184.041472	41	42	47
array-patterns/array28_pattern.yml	true	unknown	7.596533577	3.952946031000465	185.008128	57	100	115
array-patterns/array29_pattern.yml	true	unknown	6.89387241	3.6716957980097504	183.529472	41	42	47
array-patterns/array2_pattern.yml	true	unknown	7.342398035	3.807203586999094	183.746560	52	134	150
array-patterns/array30_pattern.yml	true	unknown	7.275142239	3.797827161004534	186.589184	42	43	48
array-patterns/array3_pattern.yml	true	unknown	7.614790927	3.9440276099921903	193.961984	72	160	176
array-patterns/array4_pattern.yml	true	unknown	8.160681242	4.261132435000036	197.738496	83	294	325
array-patterns/array5_pattern.yml	true	unknown	7.50761311	3.9198775269906037	195.674112	61	161	183
array-patterns/array6_pattern.yml	true	unknown	7.378559612	3.833537818005425	187.645952	52	134	150
array-patterns/array7_pattern.yml	true	unknown	9.283163499	4.808825143991271	191.311872	59	155	171
array-patterns/array8_pattern.yml	true	unknown	7.381301641	3.854645437997533	185.212928	49	94	106
array-patterns/array9_pattern.yml	true	unknown	7.215166838	3.762805284000933	184.205312	49	94	106
array-cav19/array_init_nondet_vars.yml	true	unknown	6.757264291	3.512869353988208	179.482624	51	96	107
array-cav19/array_min_and_copy_shift_sum_add.yml	true	unknown	7.683480278	3.988783856999362	203.485184	74	258	297
array-cav19/array_tiling_poly6.yml	true	unknown	6.822606815	3.5928533780097496	171.802624	31	32	35
array-cav19/array_tiling_tcpy.yml	true	unknown	6.303193455	3.302900378999766	176.238592	32	33	35
array-fpi/brs1.yml	true	unknown	6.731606403	3.5071330400096485	174.575616	38	39	44
array-fpi/brs1f.yml	false	unknown	6.924040847	3.626967326999875	173.228032	38	39	44
array-fpi/brs2.yml	true	unknown	6.687189558	3.4664014970039716	173.502464	38	39	44
array-fpi/brs2f.yml	false	unknown	6.992149379	3.624080301000504	175.996928	38	39	44
array-fpi/brs3.yml	true	unknown	6.914023453	3.6298711659910623	181.657600	38	39	44
array-fpi/brs3f.yml	false	unknown	7.045490034	3.7219010080007138	181.542912	38	39	44
array-fpi/brs4.yml	true	unknown	6.799281364	3.557098292003502	174.575616	38	39	44
array-fpi/brs4f.yml	false	unknown	8.375729171	4.3553091030044015	181.354496	38	39	44
array-fpi/brs5.yml	true	unknown	6.553596712	3.425156943994807	176.705536	38	39	44
array-fpi/brs5f.yml	false	unknown	6.518813952	3.3756786300073145	173.297664	38	39	44
array-fpi/conda.yml	true	unknown	6.377745734	3.3206353660061723	174.137344	38	39	44
